segment_id_SEG-00313,segment_id_SEG-00483,segment_id_SEG-02129,land_use_Green,land_use_Institutional,land_use_Residential,land_use_Water,storm_drain_type_GratedInlet,storm_drain_type_Manhole,storm_drain_type_OpenChannel,storm_drain_proximity_m
False,False,False,False,True,False,False,False,False,False,160.5
False,False,False,False,False,False,False,False,False,True,152.5
False,False,False,False,False,True,False,False,True,False,37.0
False,False,False,False,False,False,False,False,False,True,292.4
False,False,False,False,False,False,False,False,True,False,30.0
False,False,False,False,False,True,False,False,True,False,43.0
False,False,False,False,False,True,False,False,False,False,31.1
False,False,False,False,False,False,False,False,False,False,153.3
False,False,False,False,False,False,False,True,False,False,49.7
False,False,False,False,False,False,False,False,False,True,41.2
False,False,False,False,False,True,False,False,True,False,187.7
False,False,False,False,False,False,False,False,False,False,70.9
False,False,False,False,False,False,False,False,False,True,248.0
False,False,False,False,False,False,False,False,False,False,105.1
False,False,False,True,False,False,False,False,False,True,53.3
False,False,False,False,False,False,False,False,False,False,128.4
False,False,False,False,False,True,False,False,False,False,153.6
False,False,False,False,False,False,False,False,False,False,145.3
False,False,False,False,False,False,False,False,False,True,118.7
False,False,False,False,False,False,False,False,True,False,39.1
False,False,False,True,False,False,False,False,False,True,58.2
False,False,False,True,False,False,False,True,False,False,159.7
False,False,False,False,False,False,False,True,False,False,91.2
False,False,False,False,False,True,False,True,False,False,11.2
False,False,False,False,False,True,False,False,False,False,124.4
False,False,False,False,False,True,False,False,False,False,44.6
False,False,False,False,False,False,True,False,True,False,83.0
False,False,False,False,False,False,False,True,False,False,24.6
False,False,False,False,False,False,False,False,True,False,54.0
False,False,False,False,False,False,True,False,False,False,22.6
False,False,False,False,False,False,False,False,True,False,6.0
False,False,False,False,False,False,False,False,False,False,64.4
False,False,False,False,False,False,False,False,False,True,193.1
False,False,False,False,False,False,False,False,False,False,127.2
False,False,False,False,False,False,False,False,True,False,11.2
False,False,False,False,False,True,False,False,False,False,80.7
False,False,False,False,False,False,False,False,False,False,18.6
False,False,False,True,False,False,False,True,False,False,10.2
False,False,False,False,False,False,False,False,False,False,50.8
False,False,False,False,False,False,False,False,False,True,156.1
False,False,False,False,True,False,False,False,True,False,116.3
False,False,False,False,False,False,False,False,False,False,80.0
False,False,False,False,False,True,False,True,False,False,69.8
False,False,False,False,False,False,False,True,False,False,38.2
False,False,False,False,False,False,True,False,False,False,20.3
False,False,False,False,False,True,False,False,False,False,70.9
False,False,False,False,False,False,False,False,True,False,115.7
False,False,False,False,False,False,False,False,False,False,22.4
False,False,False,False,False,False,False,False,False,False,112.6
False,False,False,False,False,False,False,False,False,False,69.6
False,False,False,False,False,False,False,False,True,False,101.4
False,False,False,False,False,True,False,False,False,True,66.5
False,False,False,False,False,False,False,False,False,False,73.8
False,False,False,False,False,False,False,True,False,False,42.2
False,False,False,False,False,False,False,False,False,False,167.0
False,False,False,False,False,False,False,False,False,False,15.0
False,False,False,False,False,False,False,False,True,False,86.6
False,False,False,False,False,False,False,False,True,False,120.5
False,False,False,True,False,False,False,False,True,False,133.7
False,False,False,False,False,False,False,False,False,False,30.1
False,False,False,False,False,False,False,False,False,False,106.7
False,False,False,False,False,False,False,False,False,True,44.6
False,False,False,False,False,True,False,False,True,False,103.5
False,False,False,False,False,False,False,True,False,False,11.5
False,False,False,False,False,False,False,True,False,False,128.8
False,False,False,False,False,False,False,False,False,False,27.8
False,False,False,False,False,True,False,False,True,False,124.6
False,False,False,False,False,True,False,False,False,False,279.5
False,False,False,False,False,False,False,False,False,True,259.6
False,False,False,False,False,False,False,True,False,False,89.7
False,False,False,False,False,True,False,False,True,False,98.8
False,False,False,False,False,False,False,False,False,True,242.5
False,False,False,False,False,False,False,False,False,False,52.8
False,False,False,False,False,False,False,False,False,False,161.5
False,False,False,False,False,False,False,True,False,False,198.0
False,False,False,False,False,True,False,True,False,False,67.7
False,False,False,True,False,False,False,True,False,False,154.8
False,False,False,False,False,False,False,False,True,False,4.2
False,False,False,False,False,False,False,False,False,True,120.1
False,False,False,False,False,True,False,True,False,False,10.2
False,False,False,False,False,False,False,True,False,False,12.8
False,False,False,False,False,False,False,False,True,False,104.2
False,False,False,True,False,False,False,False,False,True,74.8
False,False,False,False,False,True,False,True,False,False,118.5
False,False,False,False,False,True,False,True,False,False,76.2
False,False,False,False,False,False,True,False,True,False,179.8
False,False,False,False,False,False,False,True,False,False,41.3
False,False,False,False,False,True,False,False,True,False,45.1
False,False,False,False,False,False,True,False,False,False,75.8
False,False,False,False,False,True,False,False,False,True,199.4
False,False,False,False,False,False,False,False,False,False,65.0
False,False,False,False,False,False,False,True,False,False,50.9
False,False,False,True,False,False,False,False,False,False,165.1
False,False,False,False,False,True,False,False,True,False,44.3
False,False,False,False,False,False,False,True,False,False,6.2
False,False,False,True,False,False,False,True,False,False,203.1
False,False,False,False,False,False,False,False,False,True,41.7
False,False,False,False,False,True,False,True,False,False,0.6
False,False,False,False,False,False,False,True,False,False,49.4
False,False,False,False,False,True,False,False,False,True,180.2
False,False,False,False,False,True,False,True,False,False,115.2
False,False,False,False,False,True,False,False,True,False,32.1
False,False,False,False,False,True,False,False,False,False,302.1
False,False,False,True,False,False,False,False,False,False,234.9
False,False,False,False,False,False,False,False,False,True,206.7
False,False,False,False,False,False,False,False,False,True,229.7
False,False,False,False,False,True,False,False,True,False,52.1
False,False,False,False,False,True,False,False,False,True,251.2
False,False,False,False,False,False,False,False,False,True,13.6
False,False,False,False,False,False,False,False,False,True,192.4
False,False,False,False,False,False,False,False,False,False,58.6
False,False,False,False,False,True,False,False,False,False,217.2
False,False,False,True,False,False,False,False,True,False,196.4
False,False,False,False,False,True,False,False,False,True,257.9
False,False,False,False,False,False,False,False,False,False,80.1
False,False,False,False,False,True,False,False,True,False,85.6
False,False,False,False,False,True,False,False,False,True,206.9
False,False,False,False,False,False,False,False,False,False,107.2
False,False,False,False,False,False,False,False,False,True,250.4
False,False,False,False,False,False,False,True,False,False,51.2
False,False,False,False,False,False,False,False,False,True,22.0
False,False,False,False,False,False,False,False,False,True,62.7
False,False,False,False,False,False,False,False,False,False,26.1
False,False,False,False,False,True,False,False,True,False,22.5
False,False,False,False,False,True,False,False,False,False,19.6
False,False,False,False,False,True,False,False,True,False,87.1
False,False,False,False,False,True,False,False,False,True,15.7
False,False,False,False,False,True,False,False,False,False,175.8
False,False,False,False,False,False,False,False,True,False,80.9
False,False,False,False,False,False,False,False,True,False,126.1
False,False,False,False,False,False,False,False,False,False,92.1
False,False,False,True,False,False,False,True,False,False,224.5
False,False,False,False,False,True,False,True,False,False,74.1
False,False,False,False,False,True,False,True,False,False,86.9
False,False,False,False,False,True,False,False,True,False,99.6
False,False,False,False,False,True,False,False,False,False,6.0
False,False,False,False,False,True,False,True,False,False,78.6
False,False,False,False,True,False,False,False,False,False,165.4
False,False,False,False,False,False,False,True,False,False,122.1
False,False,False,False,True,False,False,False,False,True,263.6
False,False,False,False,False,False,False,False,False,False,157.1
False,False,False,False,False,False,False,False,False,False,75.8
False,False,False,False,False,False,False,False,False,False,110.7
False,False,False,False,False,False,False,False,False,False,121.5
False,False,False,True,False,False,False,False,False,False,185.3
False,False,False,False,False,False,False,False,False,True,168.4
False,False,False,False,False,False,False,True,False,False,4.8
False,False,False,True,False,False,False,False,True,False,131.9
False,False,False,True,False,False,False,True,False,False,118.6
False,False,False,False,False,False,False,False,False,False,49.6
False,False,False,False,False,False,False,False,False,True,129.8
False,False,False,False,False,False,False,False,False,False,56.6
False,False,False,False,False,False,False,False,False,True,28.2
False,False,False,False,False,False,False,False,True,False,14.2
False,False,False,False,False,False,False,True,False,False,53.0
False,False,False,False,False,False,False,False,False,False,61.2
False,False,False,False,False,False,True,False,True,False,200.3
False,False,False,False,False,False,False,False,True,False,43.5
False,False,False,False,False,False,False,True,False,False,12.9
False,False,False,False,False,False,False,False,False,False,20.0
False,False,False,False,False,True,False,True,False,False,23.3
False,False,False,False,False,False,False,False,True,False,74.6
False,False,False,False,False,True,False,False,True,False,60.2
False,False,False,False,False,False,False,False,False,True,275.3
False,False,False,False,False,False,False,False,False,False,17.1
False,False,False,False,False,True,False,False,False,True,112.3
False,False,False,False,False,False,False,True,False,False,159.1
False,False,False,False,False,True,False,False,True,False,1.4
False,False,False,False,False,True,False,False,False,True,242.2
False,False,False,False,False,True,False,False,False,False,333.1
False,False,False,True,False,False,False,False,False,False,112.1
False,False,False,False,False,True,False,True,False,False,36.9
False,False,False,False,False,True,False,False,True,False,39.9
False,False,False,False,False,False,False,True,False,False,132.5
False,False,False,False,False,False,False,False,False,False,108.7
False,False,False,False,False,True,False,True,False,False,112.3
False,False,False,True,False,False,False,False,True,False,291.8
False,False,False,True,False,False,False,True,False,False,67.7
False,False,False,False,False,False,False,True,False,False,59.6
False,False,False,False,False,False,False,False,True,False,71.8
False,False,False,False,False,False,False,False,False,False,76.2
False,False,False,False,False,True,False,False,False,False,102.0
